run_id,url,platform,video_id,comment_id,parent_id,is_reply,reply_depth,user_id,username,text,like_count,publish_time,rank_tab,capture_ts,status,notes
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,我就是我_郭金仓 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,4 分享 回复,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,一抹时光 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,3 分享 回复,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,珍 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,2 分享 回复,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,重生 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,朩可乐 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,字英 ...,,,,2025-10-15T12:31:55,ok,
20251015-123111,https://www.iesdouyin.com/share/video/6898201883039550727/?region=CN&mid=6898202051911338765&u_code=0&did=MS4wLjABAAAAragV2cpXWV_Iwyb1k1u8_SfGPFSjJLYfpQzufIV6x1mzOVWLPg0uSAzEd6iZQLpe&iid=MS4wLjABAAAAuiGC8-V7c-yk6LYjYKsevBH11Tp0Qgqqf11lpR-xR-HJutZd-KVOozacf4-225FN&with_sec_did=1&titleType=title&share_sign=LK6w5.b_M0A.6HfbbwverapjDLnXWdU7k43WLhSsHU8-&share_version=110900&ts=1716370496&from_aid=2955&from_ssr=1,douyin,,,,0,0,,,苏 ...,,,,2025-10-15T12:31:55,ok,
